mkt,ric,ric_or_isin
asx,GSS.AX,GSS
asx,GSW.AX,GSW
asx,GTE.AX,GTE
asx,GTG.AX,GTG
asx,GTK.AX,GTK
asx,GTN.AX,GTN
asx,GTR.AX,GTR
asx,GTY.AX,GTY
asx,GUD.AX,GUD
asx,GUL.AX,GUL
asx,GVF.AX,GVF
asx,GWA.AX,GWA
asx,GWR.AX,GWR
asx,GXL.AX,GXL
asx,GXY.AX,GXY
asx,GZL.AX,GZL
asx,HACK.AX,HACK
asx,HAS.AX,HAS
asx,HAV.AX,HAV
asx,HAW.AX,HAW
asx,HBRD.AX,HBRD
asx,HCH.AX,HCH
asx,HCO.AX,HCO
asx,HCT.AX,HCT
asx,HDY.AX,HDY
asx,HE8.AX,HE8
asx,HEG.AX,HEG
asx,HEUR.AX,HEUR
asx,HFR.AX,HFR
asx,HGL.AX,HGL
asx,HGM.AX,HGM
asx,HGO.AX,HGO
asx,HHM.AX,HHM
asx,HHY.AX,HHY
asx,HIG.AX,HIG
asx,HIL.AX,HIL
asx,HIP.AX,HIP
asx,HIT.AX,HIT
asx,HJPN.AX,HJPN
asx,HLO.AX,HLO
asx,HLX.AX,HLX
asx,HMO.AX,HMO
asx,HMX.AX,HMX
asx,HNG.AX,HNG
asx,HNR.AX,HNR
asx,HOM.AX,HOM
asx,HOR.AX,HOR
asx,HOT.AX,HOT
asx,HPI.AX,HPI
asx,HPR.AX,HPR
asx,HRL.AX,HRL
asx,HRN.AX,HRN
asx,HRR.AX,HRR
asx,HSN.AX,HSN
asx,HSO.AX,HSO
asx,HT1.AX,HT1
asx,HT8.AX,HT8
asx,HTA.AX,HTA
asx,HUB.AX,HUB
asx,HUO.AX,HUO
asx,HVN.AX,HVN
asx,HVST.AX,HVST
asx,HWK.AX,HWK
asx,HXG.AX,HXG
asx,HZN.AX,HZN
asx,HZR.AX,HZR
asx,IAA.AX,IAA
asx,IAB.AX,IAB
asx,IAF.AX,IAF
asx,IAG.AX,IAG
asx,IAM.AX,IAM
asx,IAU.AX,IAU
asx,IBC.AX,IBC
asx,IBG.AX,IBG
asx,IBK.AX,IBK
asx,IBN.AX,IBN
asx,IBX.AX,IBX
asx,ICG.AX,ICG
asx,ICI.AX,ICI
asx,ICN.AX,ICN
asx,ICQ.AX,ICQ
asx,ICS.AX,ICS
asx,ICT.AX,ICT
asx,ICU.AX,ICU
asx,IDA.AX,IDA
asx,IDO.AX,IDO
asx,IDR.AX,IDR
asx,IDT.AX,IDT
asx,IDX.AX,IDX
asx,IDZ.AX,IDZ
asx,IEC.AX,IEC
asx,IEL.AX,IEL
asx,IEM.AX,IEM
asx,IEQ.AX,IEQ
asx,IEU.AX,IEU
asx,IFL.AX,IFL
asx,IFM.AX,IFM
asx,IFN.AX,IFN
asx,IFRA.AX,IFRA
asx,IFT.AX,IFT
asx,IGB.AX,IGB
asx,IGE.AX,IGE
asx,IGL.AX,IGL
asx,IGO.AX,IGO
asx,IHCB.AX,IHCB
asx,IHD.AX,IHD
asx,IHEB.AX,IHEB
