#RIC,Date[G],Time[G],GMT Offset,Type,Description,CUSIP Code,SEDOL,Common Code,ISIN Code,Issue Classification,Exchange Identification,Currency Code,Trading Status,Directory Company Name,Industrial Classification Code,Organisation ID ORGID,Organisation Display Name,Organisation Geographical Unit,Australia Code,Austria Code,Belgium Code,France Code Sicovam,Wertpapier WM,Japan Code SICC,Netherlands Code,Rio De Janeiro Code,Sao Paulo Code,Switzerland Code VALOREN,Taiwan Code,Hong Kong Code,Malaysia Code,Singapore Code,Primary Issue Level Code PILC,Finsbury Company Code,ISO CFI Code,Primary RIC Edcoid,New MSCI Industrial Classification Code GICS,Dow Jones Stoxx Industrial Classification Code,FTSE Industrial Classification Code,PE Code,Quotron Symbol,New Belgian Code,Market Identifier Code MIC,Official Place Of Listing OPOL,Asset Categories,Primary Trading RIC,Ticker Symbol,Issue Long Name,RBSS Code,MiFID Indicator,CFI Code,Place Of Listing,Primary Reference Market Quote,Primary Execution Venue,Market Segment Name,Market MIC,Organizational Identifier of the Competent Regulatory Authority,CESR EEA Regulated,CESR Most Relevant Market,CESR Average Daily Turnover,CESR Average Daily Turnover Currency,CRA Average Daily Turnover,CRA Average Daily Turnover Currency,CESR Average Value Of Orders Executed,CESR Average Value Of Orders Executed Currency,CRA Average Value Of Orders Executed,CRA Average Value Of Orders Executed Currency,CESR Free Float,CESR Free Float Currency,CRA Free Float,CRA Free Float Currency,CESR Standard Market Size,CESR Standard Market Size Currency,New Netherlands Code,Round Lot Size,Reuters Classification Scheme
SBAS1J.J,16-JUN-2018,,,Equities,SILVER COMMODITY LINKER ETN,N/P,N/P,,ZAE000149316,,JNB,ZAc,1,Silver Commodity Linker Etf,,107788642,Silver Commodity,ZAF,,,,,,,,,,,,,,,112329155,,,SBAS1J.J,,,,92,,,XJSE,XJSE,PRF,Y,SBAS1,Silver Commodity Linker ETN,1691,,EYMMMM,Y,,,JSE Exchange Traded,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ETN
SBAWHTJ.J,16-JUN-2018,,,Equities,SB WHEAT ETN,N/P,N/P,,ZAE000158549,,JNB,ZAc,1,SB Wheat ETN,,110263280,SB Wheat ETN,ZAF,,,,,,,,,,,,,,,115105639,,,SBAWHTJ.J,,,,92,,,XJSE,XJSE,PRF,Y,SBAWHT,SB Wheat ETN,,,EYMMMM,Y,,,JSE Exchange Traded,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ETN
SBKJ.J,16-JUN-2018,,,Equities,STANDARD BANK ORD,N/P,N/P,33161204,ZAE000109815,,JNB,ZAc,1,Standard Bank Group Ltd,,46441,Standard BK Grp,ZAF,,899794,,,A0NEF6,,,,,,,,,,113551,STNBIC,,SBKJ.J,,,,92,,,XJSE,XJSE,ORD,Y,SBK,Standard Bank Group Ord Shs,1616,MIFID-E,ESVUFR,Y,SBKJ.F,FRAB,Top Companies,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
SBVJ.J,16-JUN-2018,,,Equities,SABVEST ORD,N/P,N/P,,ZAE000006417,,JNB,ZAc,1,Sabvest Ltd,,45755,Sabvest,ZAF,,,,,904792,,,,,,,,,,198106,SBVEST,,SBVJ.J,,,,92,,,XJSE,XJSE,ORD,Y,SBV,Sabvest Ord Shs,1691,MIFID-E,ESVUFR,Y,SBVJ.BE,BERB,JSE Less Liquid,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
SCDJ.J,16-JUN-2018,,,Equities,SCHRODER EUROPEAN RE INVEST ORD,N/P,N/P,,GB00BY7R8K77,,JNB,ZAc,1,Schroder European Real Estate Investment Trust PLC,,114976322,Schroder,GBR,,,,,A2AB0D,,,,,,,,,,137277806,,,SERE.L,,,,92,,,XJSE,XJSE,ORD,,SCD,Schroder European Real Estate Investment Trust Ord Shs,1680,MIFID-E,ESVUFR,Y,SERE.L,XLON,Top Companies,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
SCPJ.J,16-JUN-2018,,,Equities,STELLAR ORD,N/P,N/P,,ZAE000198586,,JNB,ZAc,1,Stellar Capital Partners Ltd,,131298,Stellar Capital,ZAF,,,,,A14TUR,,,,,,,,,,5490978,VESTCH,,SCPJ.J,,,,92,,,XJSE,XJSE,ORD,Y,SCP,Stellar Cap Partners Ltd Ord Shs,1639,MIFID-E,ESVUFR,Y,RNCN.BE,BERB,JSE Less Liquid,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
SDOJ.J,16-JUN-2018,,,Equities,STADIO HOLDINGS LIMITED ORD,N/P,N/P,,ZAE000248662,,JNB,ZAc,1,Stadio Holdings Ltd,,115794813,Stadio Holdings,ZAF,,,,,,,,,,,,,,,147847421,,,SDOJ.J,,,,92,,,XJSE,XJSE,ORD,Y,SDO,STADIO HOLDINGS LIMITED ORD,1600,MIFID-E,ESVUFR,Y,,,Top Companies,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
SEAJ.J,16-JUN-2018,,,Equities,SPEAR REIT ORD,N/P,N/P,,ZAE000228995,,JNB,ZAc,1,Spear REIT Ltd,,115457498,Spear,ZAF,,,,,,,,,,,,,,,142293794,,,SEAJ.J,,,,92,,,XJSE,XJSE,ORD,Y,SEA,Spear REIT Ord Shs,1678,MIFID-E,CBMJXS,Y,,,JSE Less Liquid,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
SEPJ.J,16-JUN-2018,,,Equities,SEPHAKU HLDGS ORD,N/P,N/P,,ZAE000138459,,JNB,ZAc,1,Sephaku Holdings Ltd,,105685491,Sephaku Holdings,ZAF,,,,,,,,,,,,,,,110277227,,,SEPJ.J,,,,92,,,XJSE,XJSE,ORD,Y,SEP,Sephaku Holdings Ord Shs,1110,MIFID-E,ESVUFR,Y,,,JSE Less Liquid,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
SFNJ.J,16-JUN-2018,,,Equities,SASFIN ORD,N/P,N/P,,ZAE000006565,,JNB,ZAc,1,Sasfin Holdings Ltd,,45725,Sasfin Holdings,ZAF,,,,,925635,,,,,,,,,,197994,SASFIN,,SFNJ.J,,,,92,,,XJSE,XJSE,ORD,Y,SFN,Sasfin Ord Shs,1616,MIFID-E,ESVUFR,Y,SFNJ.BE,BERB,JSE Less Liquid,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
