mkt,#RIC,Directory Company Name
asx,BCK.AX,Brockman Mining Ltd
asx,BCN.AX,Beacon Minerals Ltd
asx,BCT.AX,Bluechiip Ltd
asx,BD1.AX,BARD1 Life Sciences Ltd
asx,BDA.AX,BOD Australia Ltd
asx,BDI.AX,Blina Minerals NL
asx,BDR.AX,Beadell Resources Ltd
asx,BEAR.AX,BetaShares Australian Equities Bear Hedge
asx,BEE.AX,Broo Ltd
asx,BEL.AX,Bentley Capital Ltd
asx,BEM.AX,BlackEarth Minerals NL
asx,BEN.AX,Bendigo and Adelaide Bank Ltd
asx,BFC.AX,Beston Global Food Company Ltd
asx,BFG.AX,Bell Financial Group Ltd
asx,BGA.AX,Bega Cheese Ltd
asx,BGH.AX,Bligh Resources Ltd
asx,BGP.AX,Briscoe Group Ltd
asx,BGS.AX,Birimian Ltd
asx,BGT.AX,Bio-Gene Technology Ltd
asx,BHD.AX,Benjamin Hornigold Ltd
asx,BHL.AX,Boyuan Holdings Ltd
asx,BHP.AX,BHP Billiton Ltd
asx,BID.AX,Bidenergy Ltd
asx,BIG.AX,Big Un Ltd
asx,BILL.AX,iShares Core Cash ETF
asx,BIN.AX,Bingo Industries Ltd
asx,BIQ.AX,BuildingIQ Inc
asx,BIS.AX,Bisalloy Steel Group Ltd
asx,BIT.AX,Biotron Ltd
asx,BKI.AX,BKI Investment Company Ltd
asx,BKL.AX,Blackmores Ltd
asx,BKP.AX,Baraka Energy & Resources Ltd
asx,BKT.AX,Black Rock Mining Ltd
asx,BKW.AX,Brickworks Ltd
asx,BKY.AX,Berkeley Energia Ltd
asx,BLA.AX,Blue Sky Alternative Investments Ltd
asx,BLD.AX,Boral Ltd
asx,BLG.AX,BluGlass Ltd
asx,BLK.AX,Blackham Resources Ltd
asx,BLT.AX,Benitec Biopharma Ltd
asx,BLX.AX,Beacon Lighting Group Ltd
asx,BLY.AX,Boart Longyear Ltd
asx,BLZ.AX,Blaze International Ltd
asx,BMG.AX,BMG Resources Ltd
asx,BMH.AX,Baumart Holdings Ltd
asx,BMN.AX,Bannerman Resources Ltd
asx,BMP.AX,Buymyplace.Com.au Ltd
asx,BMT.AX,Berkut Minerals Ltd
asx,BMZ.AX,Black Mountain Resources Ltd
asx,BNKS.AX,Betashares Global Banks ETF-Curr Hedged
asx,BNL.AX,Big Star Energy Ltd
asx,BNO.AX,Bionomics Ltd
asx,BNR.AX,Bulletin Resources Ltd
asx,BOA.AX,Boadicea Resources Ltd
asx,BOC.AX,Bougainville Copper Ltd
asx,BOE.AX,Boss Resources Ltd
asx,BOL.AX,Boom Logistics Ltd
asx,BOND.AX,SPDR S&P/ASX Australian Bond
asx,BOQ.AX,Bank of Queensland Ltd
asx,BOT.AX,Botanix Pharmaceuticals Ltd
asx,BPF.AX,Bulletproof Group Ltd
asx,BPH.AX,BPH Energy Ltd
asx,BPL.AX,Broken Hill Prospecting Ltd
asx,BPP.AX,Babylon Pump & Power Ltd
asx,BPS.AX,BPS Technology Ltd
asx,BPT.AX,Beach Energy Ltd
asx,BRB.AX,Breaker Resources NL
asx,BRC.AX,Brain Resource Ltd
asx,BRG.AX,Breville Group Ltd
asx,BRI.AX,Big River Industries Ltd
asx,BRK.AX,Brookside Energy Ltd
asx,BRL.AX,Bathurst Resources Ltd
asx,BRN.AX,Brainchip Holdings Ltd
asx,BRU.AX,Buru Energy Ltd
asx,BSA.AX,BSA Ltd
asx,BSE.AX,Base Resources Ltd
asx,BSL.AX,BlueScope Steel Ltd
asx,BSM.AX,Bass Metals Ltd
asx,BSP.AX,Black Star Petroleum Ltd
asx,BSR.AX,Bassari Resources Ltd
asx,BST.AX,Barrack St Investments Ltd
asx,BSX.AX,Blackstone Minerals Ltd
asx,BTC.AX,BTC Health Ltd
asx,BTH.AX,Bigtincan Holdings Ltd
asx,BTI.AX,Bailador Technology Investments Ltd
asx,BTT.AX,BT Investment Management Ltd
asx,BUB.AX,Bubs Australia Ltd
asx,BUD.AX,Buddy Platform Ltd
asx,BUG.AX,Buderim Group Ltd
asx,BUL.AX,Blue Energy Ltd
asx,BUX.AX,Buxton Resources Ltd
asx,BUY.AX,Bounty Oil and Gas NL
asx,BVS.AX,Bravura Solutions Ltd
asx,BWF.AX,Blackwall Ltd
asx,BWP.AX,BWP Trust
asx,BWR.AX,BlackWall Property Trust
asx,BWX.AX,BWX Ltd
asx,BXB.AX,Brambles Ltd
asx,BXN.AX,Bioxyne Ltd
asx,BYE.AX,Byron Energy Ltd
asx,BYH.AX,Bryah Resources Ltd
asx,BYI.AX,Beyond International Ltd
asx,C6C.AX,Copper Mountain Mining Corp
asx,CA8.AX,CoAssets Ltd
asx,CAA.AX,Capral Ltd
asx,CAB.AX,Cabcharge Australia Ltd
asx,CAD.AX,Caeneus Minerals Ltd
asx,CAE.AX,Cannindah Resources Ltd
asx,CAF.AX,Centrepoint Alliance Ltd
asx,CAG.AX,Cape Range Ltd
asx,CAI.AX,Calidus Resources Ltd
asx,CAJ.AX,Capitol Health Ltd
asx,CAM.AX,Clime Capital Ltd
asx,CAN.AX,Cann Group Ltd
asx,CAP.AX,Carpentaria Resources Ltd
asx,CAQ.AX,CAQ Holdings Ltd
asx,CAR.AX,Carsales.Com Ltd
asx,CAS.AX,Crusader Resources Ltd
asx,CAT.AX,Catapult Group International Ltd
asx,CAV.AX,Carnavale Resources Ltd
asx,CAY.AX,Canyon Resources Ltd
asx,CAZ.AX,Cazaly Resources Ltd
asx,CBA.AX,Commonwealth Bank of Australia
asx,CBC.AX,CBG Capital Ltd
asx,CBL.AX,CBL Corporation Ltd
asx,CCA.AX,Change Financial Ltd
asx,CCE.AX,Carnegie Clean Energy Ltd
asx,CCG.AX,CommsChoice Group Ltd
asx,CCJ.AX,County International Ltd
asx,CCL.AX,Coca-Cola Amatil Ltd
asx,CCP.AX,Credit Corp Group Ltd
asx,CCV.AX,Cash Converters International Ltd
asx,CCZ.AX,Castillo Copper Ltd
