#RIC,Date[G],Time[G],GMT Offset,Type,Description,CUSIP Code,SEDOL,Common Code,ISIN Code,Issue Classification,Exchange Identification,Currency Code,Trading Status,Directory Company Name,Industrial Classification Code,Organisation ID ORGID,Organisation Display Name,Organisation Geographical Unit,Australia Code,Austria Code,Belgium Code,France Code Sicovam,Wertpapier WM,Japan Code SICC,Netherlands Code,Rio De Janeiro Code,Sao Paulo Code,Switzerland Code VALOREN,Taiwan Code,Hong Kong Code,Malaysia Code,Singapore Code,Primary Issue Level Code PILC,Finsbury Company Code,ISO CFI Code,Primary RIC Edcoid,New MSCI Industrial Classification Code GICS,Dow Jones Stoxx Industrial Classification Code,FTSE Industrial Classification Code,PE Code,Quotron Symbol,New Belgian Code,Market Identifier Code MIC,Official Place Of Listing OPOL,Asset Categories,Primary Trading RIC,Ticker Symbol,Issue Long Name,RBSS Code,MiFID Indicator,CFI Code,Place Of Listing,Primary Reference Market Quote,Primary Execution Venue,Market Segment Name,Market MIC,Organizational Identifier of the Competent Regulatory Authority,CESR EEA Regulated,CESR Most Relevant Market,CESR Average Daily Turnover,CESR Average Daily Turnover Currency,CRA Average Daily Turnover,CRA Average Daily Turnover Currency,CESR Average Value Of Orders Executed,CESR Average Value Of Orders Executed Currency,CRA Average Value Of Orders Executed,CRA Average Value Of Orders Executed Currency,CESR Free Float,CESR Free Float Currency,CRA Free Float,CRA Free Float Currency,CESR Standard Market Size,CESR Standard Market Size Currency,New Netherlands Code,Round Lot Size,Reuters Classification Scheme
1OIBR3.SA,16-JUN-2018,,,Equities,OI ORD,N/P,N/P,,BROIBRACNOR1,,SAO,BRL,1,Oi SA em Recuperacao Judicial,,52120,Oi SA,BRA,,895871,,,A1JWRR,,,,BRTO3,,,,,,684207,TLPAR,,OIBR4.SA,,,,5091,,,,,ORD,,1OIBR3,Oi Ord Shs,1811,,ESVUFR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,ORD
1OIBR3F.SA,16-JUN-2018,,,Equities,OI ORD,N/P,N/P,,BROIBRACNOR1,,SAO,BRL,1,Oi SA em Recuperacao Judicial,,52120,Oi SA,BRA,,895871,,,A1JWRR,,,,BRTO3,,,,,,684207,TLPAR,,OIBR4.SA,,,,5091,,,,,ORD,,1OIBR3F,Oi Ord Shs,1811,,ESVUFR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,ORD
1OIBR4F.SA,16-JUN-2018,,,Equities,OI PRF,N/P,N/P,,BROIBRACNPR8,,SAO,BRL,1,Oi SA em Recuperacao Judicial,,52120,Oi SA,BRA,,896518,,,A1JWRQ,,,,BRTO4,,,,,,684206,TLPAR,,OIBR4.SA,,,,5091,,,,,PRF,,1OIBR4F,Oi Pref Shs,1811,,EPNNPR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,PRF
1OMGE3.SA,16-JUN-2018,,,Equities,OMEGA GERACAO ORD,N/P,N/P,,BROMGEACNOR0,,SAO,BRL,1,Omega Geracao SA,,107265739,Omega Geracao,BRA,,,,,,,,,,,,,,,134138548,,,OMGE3.SA,,,,5091,,,,,ORD,,OMGE3,Omega Geracao SA Ord Shs,1828,,ESVUFR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,ORD
1OMGE3F.SA,16-JUN-2018,,,Equities,OMEGA GERACAO ORD,N/P,N/P,,BROMGEACNOR0,,SAO,BRL,1,Omega Geracao SA,,107265739,Omega Geracao,BRA,,,,,,,,,,,,,,,134138548,,,OMGE3.SA,,,,5091,,,,,ORD,,OMGE3F,Omega Geracao SA Ord Shs,1828,,ESVUFR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,ORD
1ONEF11F.SA,16-JUN-2018,,,Equities,FDO INV IMOB THE ONE ETF,N/P,N/P,,BRONEFCTF003,,SAO,BRL,1,Fundo de Investimento Imobiliario The One FII,,111816748,FII The One,BRA,,,,,,,,,ONEF1,,,,,,117471266,,,ONEF11.SA,,,,5091,,,,,ECL,,ONEF11F,Fundo de Investimento Imobiliario The One,1694,,CICIRU,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,1,CEF
1ORCL34.SA,16-JUN-2018,,,Equities,ORACLE BDR,N/P,N/P,,BRORCLBDR007,,SAO,BRL,1,Oracle Corp,,28727,Oracle,USA,,,,,,,,,ORCL3,,,,,,115124652,ORCLE,,ORCL.N,,,,5091,,,,,DRC,,ORCL34,Oracle BDR,1799,MIFID-E,EDSXPR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,,BDR
1ORCL34F.SA,16-JUN-2018,,,Equities,ORACLE BDR,N/P,N/P,,BRORCLBDR007,,SAO,BRL,1,Oracle Corp,,28727,Oracle,USA,,,,,,,,,ORCL3,,,,,,115124652,ORCLE,,ORCL.N,,,,5091,,,,,DRC,,1ORCL34F,Oracle BDR,1799,MIFID-E,EDSXPR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,,BDR
1ORPD11F.SA,16-JUN-2018,,,Equities,OURO PRETO DESENV IMOB I FII CF,N/P,N/P,,BRORPDCTF005,,SAO,BRL,1,Ouro Preto Desenvolvimento Imobiliario I,,116856324,Ouro Preto Desen,BRA,,,,,,,,,,,,,,,152182031,,,ORPD11.SA,,,,5091,,,,,ECL,,ORPD11F,Fundo De Investimento Imobiliario Ouro Preto Desenvolvimento Imobiliario I Closed Fund,,,cicxxx,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,1,CEF
1OSXB3.SA,16-JUN-2018,,,Equities,OSX BRASIL ORD,N/P,N/P,,BROSXBACNOR8,,SAO,BRL,1,OSX Brasil SA,,105621123,OSX Brasil,BRA,,,,,A1CVC5,,,,OSXB3,,,,,,106628332,CENNCR,,OSXB3.SA,,,,5091,,,,,ORD,,OSXB3,Osx Brasil Ord Shs,1024,,ESVUFR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,ORD
