#RIC,Date[G],Time[G],GMT Offset,Type,Description,CUSIP Code,SEDOL,Common Code,ISIN Code,Issue Classification,Exchange Identification,Currency Code,Trading Status,Directory Company Name,Industrial Classification Code,Organisation ID ORGID,Organisation Display Name,Organisation Geographical Unit,Australia Code,Austria Code,Belgium Code,France Code Sicovam,Wertpapier WM,Japan Code SICC,Netherlands Code,Rio De Janeiro Code,Sao Paulo Code,Switzerland Code VALOREN,Taiwan Code,Hong Kong Code,Malaysia Code,Singapore Code,Primary Issue Level Code PILC,Finsbury Company Code,ISO CFI Code,Primary RIC Edcoid,New MSCI Industrial Classification Code GICS,Dow Jones Stoxx Industrial Classification Code,FTSE Industrial Classification Code,PE Code,Quotron Symbol,New Belgian Code,Market Identifier Code MIC,Official Place Of Listing OPOL,Asset Categories,Primary Trading RIC,Ticker Symbol,Issue Long Name,RBSS Code,MiFID Indicator,CFI Code,Place Of Listing,Primary Reference Market Quote,Primary Execution Venue,Market Segment Name,Market MIC,Organizational Identifier of the Competent Regulatory Authority,CESR EEA Regulated,CESR Most Relevant Market,CESR Average Daily Turnover,CESR Average Daily Turnover Currency,CRA Average Daily Turnover,CRA Average Daily Turnover Currency,CESR Average Value Of Orders Executed,CESR Average Value Of Orders Executed Currency,CRA Average Value Of Orders Executed,CRA Average Value Of Orders Executed Currency,CESR Free Float,CESR Free Float Currency,CRA Free Float,CRA Free Float Currency,CESR Standard Market Size,CESR Standard Market Size Currency,New Netherlands Code,Round Lot Size,Reuters Classification Scheme
GLVTbi.SI,14-JUN-2018,,,Equities,GALLANT VENTURE ORD,N/P,N/P,,SG1T37930313,,SES,SGD,1,Gallant Venture Ltd,,101780825,Gallant Venture,SGP,,,,,A0JMP1,,,,,,,,,5IG-B,102754624,GALVTR,,GLVT.SI,,,,4082,,,,,ORD,,5IG,Gallant Venture Ord Shs,1298,MIFID-E,ESXXXX,,GLVT.SG,STUB,Main Board,XSES,,N,,,,,,,,,,,,,,,,,1,FULLPAID
GLVTbi.SI,16-JUN-2018,,,Equities,GALLANT VENTURE ORD,N/P,N/P,,SG1T37930313,,SES,SGD,1,Gallant Venture Ltd,,101780825,Gallant Venture,SGP,,,,,A0JMP1,,,,,,,,,5IG-B,102754624,GALVTR,,GLVT.SI,,,,4082,,,,,ORD,,5IG,Gallant Venture Ord Shs,1298,MIFID-E,ESXXXX,,GLVT.SG,STUB,Main Board,XSES,,N,,,,,,,,,,,,,,,,,1,FULLPAID
GLVTol.SI,14-JUN-2018,,,Equities,GALLANT VENTURE ORD,N/P,N/P,,SG1T37930313,,SES,SGD,1,Gallant Venture Ltd,,101780825,Gallant Venture,SGP,,,,,A0JMP1,,,,,,,,,5IG-O,102754624,GALVTR,,GLVT.SI,,,,4082,,,,,ORD,,5IG,Gallant Venture Ord Shs,1298,MIFID-E,ESXXXX,,GLVT.SG,STUB,Main Board,XSES,,N,,,,,,,,,,,,,,,,,1,FULLPAID
GLVTol.SI,16-JUN-2018,,,Equities,GALLANT VENTURE ORD,N/P,N/P,,SG1T37930313,,SES,SGD,1,Gallant Venture Ltd,,101780825,Gallant Venture,SGP,,,,,A0JMP1,,,,,,,,,5IG-O,102754624,GALVTR,,GLVT.SI,,,,4082,,,,,ORD,,5IG,Gallant Venture Ord Shs,1298,MIFID-E,ESXXXX,,GLVT.SG,STUB,Main Board,XSES,,N,,,,,,,,,,,,,,,,,1,FULLPAID
GOLD.SI,16-JUN-2018,,,Equities,GOLDEN ENERGY AND RESOURCES ORD,N/P,N/P,,SG1AI1000008,,SES,SGD,1,Golden Energy and Resources Ltd,,114370,GEAR,SGP,,,,,A14RBP,,,,,,,,,AUE,3863469,POHLI,,GOLD.SI,,,,3051,,,XSES,XSES,ORD,Y,AUE,Golden Energy and Resources Ord Shs,1000,MIFID-E,ESXXXX,Y,UF7N.SG,STUB,Main Board,XSES,,N,,,,,,,,,,,,,,,,,100,FULLPAID
GOLDbi.SI,16-JUN-2018,,,Equities,GOLDEN ENERGY AND RESOURCES ORD,N/P,N/P,,SG1AI1000008,,SES,SGD,1,Golden Energy and Resources Ltd,,114370,GEAR,SGP,,,,,A14RBP,,,,,,,,,AUE-B,3863469,POHLI,,GOLD.SI,,,,4082,,,,,ORD,,AUE,Golden Energy and Resources Ord Shs,1000,MIFID-E,ESXXXX,,UF7N.SG,STUB,Main Board,XSES,,N,,,,,,,,,,,,,,,,,1,FULLPAID
GOLDol.SI,16-JUN-2018,,,Equities,GOLDEN ENERGY AND RESOURCES ORD,N/P,N/P,,SG1AI1000008,,SES,SGD,1,Golden Energy and Resources Ltd,,114370,GEAR,SGP,,,,,A14RBP,,,,,,,,,AUE-O,3863469,POHLI,,GOLD.SI,,,,4082,,,,,ORD,,AUE,Golden Energy and Resources Ord Shs,1000,MIFID-E,ESXXXX,,UF7N.SG,STUB,Main Board,XSES,,N,,,,,,,,,,,,,,,,,1,FULLPAID
GPEI.SI,16-JUN-2018,,,Equities,GP INDUSTRIES ORD,N/P,N/P,,SG1C12012995,,SES,SGD,1,GP Industries Ltd,,86975,GP Indus,SGP,,,,,922449,,,,,,,,,G20,2401702,GPEIND,,GPEI.SI,,,,3051,,,XSES,XSES,ORD,Y,G20,GP Industries Ord Shs,1168,,ESXXXX,Y,,,Main Board,XSES,,N,,,,,,,,,,,,,,,,,100,FULLPAID
GPEIbi.SI,16-JUN-2018,,,Equities,GP INDUSTRIES ORD,N/P,N/P,,SG1C12012995,,SES,SGD,1,GP Industries Ltd,,86975,GP Indus,SGP,,,,,922449,,,,,,,,,G20-B,2401702,GPEIND,,GPEI.SI,,,,4082,,,,,ORD,,G20,GP Industries Ord Shs,1168,,ESXXXX,,,,Main Board,XSES,,N,,,,,,,,,,,,,,,,,1,FULLPAID
GPEIol.SI,16-JUN-2018,,,Equities,GP INDUSTRIES ORD,N/P,N/P,,SG1C12012995,,SES,SGD,1,GP Industries Ltd,,86975,GP Indus,SGP,,,,,922449,,,,,,,,,G20-O,2401702,GPEIND,,GPEI.SI,,,,4082,,,,,ORD,,G20,GP Industries Ord Shs,1168,,ESXXXX,,,,Main Board,XSES,,N,,,,,,,,,,,,,,,,,1,FULLPAID
